//X Y Z Nx Ny Nz
2.62668633 -1.87063694 3.81762147 0.519578 -0.382761 0.763893
0.29794049 -4.30460548 2.52447748 0.080564 -0.857931 0.507409
2.03713179 -2.37296438 3.89895773 0.429082 -0.474764 0.768432
1.00334716 -3.69948983 3.20632815 0.209403 -0.730582 0.649923
2.32895827 -2.13440084 3.87195659 0.470620 -0.418510 0.776767
1.25121474 -3.30794716 3.53074408 0.265294 -0.662440 0.700566
3.58336806 -0.24651137 3.47537470 0.710057 -0.061932 0.701415
2.66785741 -1.55084348 3.93051219 0.530027 -0.313560 0.787878
2.52802134 -1.69891024 3.96237278 0.520906 -0.338188 0.783764
1.52849793 -3.10208654 3.60726333 0.307692 -0.610551 0.729762
0.23405331 -4.19016695 2.71270633 0.037516 -0.835081 0.548847
2.96407104 -1.23458254 3.83115005 0.576982 -0.234836 0.782269
0.69025409 -3.88910198 3.06035066 0.138789 -0.777516 0.613357
3.83703613 0.12904444 3.20192552 0.783532 0.035168 0.620355
0.97993648 -3.57689500 3.34863114 0.196463 -0.713145 0.672924
4.10146999 0.47144839 2.81632733 0.820473 0.099846 0.562899
4.05057764 0.38447613 2.90268564 0.817162 0.084732 0.570146
3.29154539 -0.40475968 3.73889899 0.667044 -0.086117 0.740025
2.40812421 -1.87101626 3.95920897 0.469694 -0.373511 0.799923
3.47427630 -0.18131094 3.58811188 0.705088 -0.041142 0.707925
0.05178609 -3.84638929 3.19166923 0.020898 -0.784355 0.619961
0.17227602 -3.98258734 3.01295185 0.035021 -0.802692 0.595365
