The time spent in the parallel computing activating process is 0.000209s.
-----
No.1	 toolpath -516.536235	[r = -600.000000] is calculated within 0.030055s.
-----
initial linear search begins: 
No.	x	f(x)
22	-518.530752	2.829832
23	-519.248862	2.603118
24	-519.966973	2.569230
25	-520.685084	2.451063
26	-521.403194	2.409181
27	-522.121305	2.405161
28	-522.839416	2.401140
29	-523.557526	2.397118
30	-524.275637	2.393095
31	-524.993748	2.195460
32	-525.711858	2.084804
33	-526.429969	1.889634
34	-527.148079	1.886374
35	-527.866190	1.739600
36	-528.584301	1.459856
37	-529.302411	1.064018
38	-530.020522	0.894905
39	-530.738633	0.859036
40	-531.456743	0.686344
41	-532.174854	0.547668
42	-532.892965	0.403627
43	-533.611075	0.391910
44	-534.329186	0.092827
45	-535.047297	0.091938
46	-535.765407	0.004002
47	-536.483518	0.003627
48	-537.201629	0.003252
49	-537.919739	-0.468948
bisection interval found by 1-dim search: [-537.919739,-537.201629]
No.20	 toolpath -453.913183	[r = -537.376247] is calculated within 11.195164s.
-----
initial linear search begins: 
No.	x	f(x)
0	-501.457255	7.073124
1	-502.175635	6.851683
2	-502.894014	6.551982
3	-503.612394	6.298915
4	-504.330774	6.005373
5	-505.049154	5.801779
6	-505.767534	5.693697
7	-506.485914	5.445631
8	-507.204294	5.281870
9	-507.922673	5.224367
10	-508.641053	5.206707
11	-509.359433	5.198936
12	-510.077813	5.185782
13	-510.796193	4.824019
14	-511.514573	4.485827
15	-512.232952	4.292550
16	-512.951332	4.078073
17	-513.669712	3.948829
