The time spent in the parallel computing activating process is 0.000197s.
-----
No.1	 toolpath 535.073516	[r = 600.000000] is calculated within 0.025376s.
-----
initial linear search begins: 
No.	x	f(x)0	568.344755	1.379614
23	516.045628	0.556047
24	516.692297	0.556880
25	517.338965	0.553903
26	517.985634	0.558549
27	518.632302	0.559384
28	519.278971	0.560220
29	519.925640	0.561057
30	520.572308	0.561894
31	521.218977	0.562732
32	521.865645	0.563571
33	522.512314	0.550186
34	523.158982	0.480099
35	523.805651	0.382519
36	524.452320	0.390432
37	525.098988	0.389509
38	525.745657	0.388587
39	526.392325	0.387665
40	527.038994	0.386742
41	527.685663	0.385820
42	528.332331	0.374185
43	528.979000	0.297507
44	529.625668	0.166309
45	530.272337	-0.010118
No.22	 toolpath 465.543527	[r = 530.238288] is calculated within 10.983866s.
-----
initial linear search begins: 
No.	x	f(x)0	497.873927	1.590741
1	498.521215	1.537373
2	499.168502	1.475507
3	499.815789	1.403669
4	500.463076	1.321681
5	501.110363	1.296632
6	501.757651	1.294186
7	502.404938	1.291739
8	503.052225	1.289292
9	503.699512	1.286845
10	504.346799	1.284397
11	504.994087	1.281949
12	505.641374	1.279500
13	506.288661	1.263367
14	506.935948	1.195189
15	507.583235	1.107589
16	508.230523	1.010769
17	508.877810	0.908460
18	509.525097	0.803118
19	510.172384	0.700060
20	510.819672	0.602599
21	511.466959	0.545959
22	512.114246	0.546786
23	512.761533	0.547614
24	513.408820	0.548442
25	514.056108	0.549272
26	514.703395	0.550101
27	515.350682	0.550932
28	515.997969	0.551763
29	516.645256	0.552595
30	517.292544	0.553427
31	517.939831	0.554260
32	518.587118	0.555094
33	519.234405	0.545051
34	519.881692	0.480205
35	520.528980	0.381078
36	521.176267	0.399781
37	521.823554	0.398857
38	522.470841	0.397933
39	523.118128	0.397008
40	523.765416	0.396085
41	524.412703	0.395161
42	525.059990	0.380238
43	525.707277	0.301021
44	526.354564	0.168681
45	527.001852	-0.008912
